date,/m/0k_9,isPartial
2010-12-26,0,False
2011-01-02,0,False
2011-01-09,0,False
2011-01-16,100,False
2011-01-23,0,False
2011-01-30,0,False
2011-02-06,0,False
2011-02-13,0,False
2011-02-20,0,False
2011-02-27,0,False
2011-03-06,0,False
2011-03-13,0,False
2011-03-20,0,False
2011-03-27,0,False
2011-04-03,0,False
2011-04-10,0,False
2011-04-17,0,False
2011-04-24,0,False
2011-05-01,0,False
2011-05-08,0,False
2011-05-15,55,False
2011-05-22,0,False
2011-05-29,71,False
2011-06-05,0,False
2011-06-12,0,False
2011-06-19,0,False
2011-06-26,53,False
2011-07-03,0,False
2011-07-10,0,False
2011-07-17,59,False
2011-07-24,0,False
2011-07-31,0,False
2011-08-07,0,False
2011-08-14,0,False
2011-08-21,0,False
2011-08-28,0,False
2011-09-04,0,False
2011-09-11,47,False
2011-09-18,49,False
2011-09-25,0,False
2011-10-02,73,False
2011-10-09,57,False
2011-10-16,0,False
2011-10-23,0,False
2011-10-30,56,False
2011-11-06,62,False
2011-11-13,0,False
2011-11-20,0,False
2011-11-27,0,False
2011-12-04,0,False
2011-12-11,0,False
2011-12-18,0,False
2011-12-25,49,False
